NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,687,"(1344688.4998509735, 402123.75013773143)","['ELSINBURG WAY', 'KNOX AVE']"
0,929,310,"(1344688.4998509735, 402123.75013773143)","['ELSINBURG WAY', 'KNOX AVE']"
0,935,133,"(1344688.4998509735, 402123.75013773143)","['ELSINBURG WAY', 'KNOX AVE']"
0,1039,135,"(1344688.4998509735, 402123.75013773143)","['ELSINBURG WAY', 'KNOX AVE']"
1,0,687,"(1344001.2499131411, 402116.7501517236)","['ELSINBURG WAY', 'GRIMES AVE']"
1,730,133,"(1344001.2499131411, 402116.7501517236)","['ELSINBURG WAY', 'GRIMES AVE']"
1,732,571,"(1344001.2499131411, 402116.7501517236)","['ELSINBURG WAY', 'GRIMES AVE']"
1,930,136,"(1344001.2499131411, 402116.7501517236)","['ELSINBURG WAY', 'GRIMES AVE']"
2,3,176,"(1340073.9998936355, 402502.50003638864)","['TAFT AVE', 'BORDER']"
2,4,77,"(1340073.9998936355, 402502.50003638864)","['TAFT AVE', 'BORDER']"
3,2,176,"(1340084.2498731315, 402327.0000593066)","['TAFT AVE', 'BORDER']"
3,1037,186,"(1340084.2498731315, 402327.0000593066)","['TAFT AVE', 'BORDER']"
4,2,77,"(1340049.4999426305, 402576.4998883903)","['TAFT AVE', 'BORDER']"
4,79,155,"(1340049.4999426305, 402576.4998883903)","['TAFT AVE', 'BORDER']"
5,6,126,"(1345282.4999753088, 403482.00037397444)","['FREELAND ST', 'BORDER']"
5,36,197,"(1345282.4999753088, 403482.00037397444)","['FREELAND ST', 'BORDER']"
6,5,126,"(1345409.0000503808, 403483.2500433922)","['FREELAND ST', 'E AMANDA AVE']"
6,767,103,"(1345409.0000503808, 403483.2500433922)","['FREELAND ST', 'E AMANDA AVE']"
6,794,156,"(1345409.0000503808, 403483.2500433922)","['FREELAND ST', 'E AMANDA AVE']"
7,589,151,"(1345568.750058964, 405548.74984939396)","['FRITZ ST', 'BORDER']"
7,1396,669,"(1345568.750058964, 405548.74984939396)","['FRITZ ST', 'BORDER']"
8,9,751,"(1341436.2501218915, 406141.749975726)","['KAMBACH ST', 'HABERMAN AVE']"
8,168,256,"(1341436.2501218915, 406141.749975726)","['KAMBACH ST', 'HABERMAN AVE']"
8,381,247,"(1341436.2501218915, 406141.749975726)","['KAMBACH ST', 'HABERMAN AVE']"
9,8,751,"(1342186.4999337196, 406099.7503878027)","['KAMBACH ST', 'JUDICIAL ST']"
9,167,204,"(1342186.4999337196, 406099.7503878027)","['KAMBACH ST', 'JUDICIAL ST']"
9,383,251,"(1342186.4999337196, 406099.7503878027)","['KAMBACH ST', 'JUDICIAL ST']"
9,810,530,"(1342186.4999337196, 406099.7503878027)","['KAMBACH ST', 'JUDICIAL ST']"
10,565,152,"(1350393.4999238849, 401949.500158146)","['GOLDBACH ST', 'JONQUIL WAY']"
10,1397,279,"(1350393.4999238849, 401949.500158146)","['GOLDBACH ST', 'JONQUIL WAY']"
11,565,275,"(1350198.9999848008, 401701.25032655895)","['WIESE ST', 'FLACK ST']"
11,888,152,"(1350198.9999848008, 401701.25032655895)","['WIESE ST', 'FLACK ST']"
