NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,223,"(1340889.9999020547, 411012.00007772446)","['BLVD OF THE ALLIES', 'STANWIX ST']"
0,9,181,"(1340889.9999020547, 411012.00007772446)","['BLVD OF THE ALLIES', 'STANWIX ST']"
0,13,222,"(1340889.9999020547, 411012.00007772446)","['BLVD OF THE ALLIES', 'STANWIX ST']"
1,0,223,"(1341087.7501627207, 410908.4999566376)","['BLVD OF THE ALLIES', 'CHANCERY LN']"
1,14,222,"(1341087.7501627207, 410908.4999566376)","['BLVD OF THE ALLIES', 'CHANCERY LN']"
1,21,206,"(1341087.7501627207, 410908.4999566376)","['BLVD OF THE ALLIES', 'CHANCERY LN']"
2,3,222,"(1340685.3470961452, 410631.1491333991)","['FORT PITT BLVD', 'STANWIX ST']"
2,13,210,"(1340685.3470961452, 410631.1491333991)","['FORT PITT BLVD', 'STANWIX ST']"
3,2,222,"(1340882.2499175519, 410527.7503900528)","['FORT PITT BLVD', 'CHANCERY LN']"
3,4,197,"(1340882.2499175519, 410527.7503900528)","['FORT PITT BLVD', 'CHANCERY LN']"
3,14,209,"(1340882.2499175519, 410527.7503900528)","['FORT PITT BLVD', 'CHANCERY LN']"
4,3,197,"(1341056.4998971373, 410434.7502479702)","['FORT PITT BLVD', 'MARKET ST']"
4,5,537,"(1341056.4998971373, 410434.7502479702)","['FORT PITT BLVD', 'MARKET ST']"
4,11,210,"(1341056.4998971373, 410434.7502479702)","['FORT PITT BLVD', 'MARKET ST']"
5,4,537,"(1341533.5678406358, 410187.97875989974)","['FORT PITT BLVD', 'WOOD ST']"
5,6,542,"(1341533.5678406358, 410187.97875989974)","['FORT PITT BLVD', 'WOOD ST']"
5,12,206,"(1341533.5678406358, 410187.97875989974)","['FORT PITT BLVD', 'WOOD ST']"
6,5,542,"(1342012.4999536425, 409934.24993664026)","['FORT PITT BLVD', 'SMITHFIELD ST']"
6,7,210,"(1342012.4999536425, 409934.24993664026)","['FORT PITT BLVD', 'SMITHFIELD ST']"
6,19,277,"(1342012.4999536425, 409934.24993664026)","['FORT PITT BLVD', 'SMITHFIELD ST']"
7,6,210,"(1342113.2500802279, 410119.2498947233)","['SMITHFIELD ST', '1ST AVE']"
7,8,222,"(1342113.2500802279, 410119.2498947233)","['SMITHFIELD ST', '1ST AVE']"
7,12,543,"(1342113.2500802279, 410119.2498947233)","['SMITHFIELD ST', '1ST AVE']"
7,17,279,"(1342113.2500802279, 410119.2498947233)","['SMITHFIELD ST', '1ST AVE']"
8,7,222,"(1342220.2498662174, 410314.5001603961)","['SMITHFIELD ST', 'BLVD OF THE ALLIES']"
8,15,177,"(1342220.2498662174, 410314.5001603961)","['SMITHFIELD ST', 'BLVD OF THE ALLIES']"
8,18,271,"(1342220.2498662174, 410314.5001603961)","['SMITHFIELD ST', 'BLVD OF THE ALLIES']"
8,20,543,"(1342220.2498662174, 410314.5001603961)","['SMITHFIELD ST', 'BLVD OF THE ALLIES']"
9,0,181,"(1340978.000054136, 411170.7500883043)","['STANWIX ST', '3RD AVE']"
9,10,428,"(1340978.000054136, 411170.7500883043)","['STANWIX ST', '3RD AVE']"
10,9,428,"(1341357.9999503046, 410973.5004828125)","['3RD AVE', 'MARKET ST']"
10,16,528,"(1341357.9999503046, 410973.5004828125)","['3RD AVE', 'MARKET ST']"
10,21,183,"(1341357.9999503046, 410973.5004828125)","['3RD AVE', 'MARKET ST']"
11,4,210,"(1341158.5000212193, 410619.24987897277)","['MARKET ST', '1ST AVE']"
11,12,534,"(1341158.5000212193, 410619.24987897277)","['MARKET ST', '1ST AVE']"
11,14,199,"(1341158.5000212193, 410619.24987897277)","['MARKET ST', '1ST AVE']"
11,21,223,"(1341158.5000212193, 410619.24987897277)","['MARKET ST', '1ST AVE']"
12,5,206,"(1341631.5000594705, 410370.0003774762)","['WOOD ST', '1ST AVE']"
12,7,543,"(1341631.5000594705, 410370.0003774762)","['WOOD ST', '1ST AVE']"
12,11,534,"(1341631.5000594705, 410370.0003774762)","['WOOD ST', '1ST AVE']"
12,20,224,"(1341631.5000594705, 410370.0003774762)","['WOOD ST', '1ST AVE']"
13,0,222,"(1340782.5001170486, 410817.75013814867)","['STANWIX ST', '1ST AVE']"
13,2,210,"(1340782.5001170486, 410817.75013814867)","['STANWIX ST', '1ST AVE']"
13,14,225,"(1340782.5001170486, 410817.75013814867)","['STANWIX ST', '1ST AVE']"
14,1,222,"(1340982.000046134, 410712.50034864247)","['CHANCERY LN', '1ST AVE']"
14,3,209,"(1340982.000046134, 410712.50034864247)","['CHANCERY LN', '1ST AVE']"
14,11,199,"(1340982.000046134, 410712.50034864247)","['CHANCERY LN', '1ST AVE']"
14,13,225,"(1340982.000046134, 410712.50034864247)","['CHANCERY LN', '1ST AVE']"
15,8,177,"(1342305.5000237972, 410470.50017647445)","['SMITHFIELD ST', '3RD AVE']"
