NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,5,237,"(1359940.7498582602, 410844.25008518994)","['SCHENLEY RD', 'BORDER']"
0,78,272,"(1359940.7498582602, 410844.25008518994)","['SCHENLEY RD', 'BORDER']"
1,2,600,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BORDER']"
1,65,2461,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BORDER']"
2,1,600,"(1357225.0928880274, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
2,79,133,"(1357225.0928880274, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
3,4,1140,"(1355759.5000186712, 411660.2500936091)","['SCHENLEY DR', 'BORDER']"
4,3,1140,"(1356716.000074178, 411050.2500012666)","['SCHENLEY DR', 'FREW ST']"
4,12,89,"(1356716.000074178, 411050.2500012666)","['SCHENLEY DR', 'FREW ST']"
4,34,411,"(1356716.000074178, 411050.2500012666)","['SCHENLEY DR', 'FREW ST']"
5,0,237,"(1359792.25015527, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
5,42,88,"(1359792.25015527, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
5,80,409,"(1359792.25015527, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
6,61,424,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'BORDER']"
6,79,510,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'BORDER']"
7,8,153,"(1355586.0443288386, 410642.7793595195)","['S BOUQUET ST', 'BORDER']"
8,7,153,"(1355674.9998595864, 410577.7502901107)","['S BOUQUET ST', 'DIMLING WAY']"
8,73,120,"(1355674.9998595864, 410577.7502901107)","['S BOUQUET ST', 'DIMLING WAY']"
8,81,236,"(1355674.9998595864, 410577.7502901107)","['S BOUQUET ST', 'DIMLING WAY']"
9,10,361,"(1360537.2499775887, 411005.0004198551)","['PLAINFIELD ST', 'MALVERN AVE']"
9,11,906,"(1360537.2499775887, 411005.0004198551)","['PLAINFIELD ST', 'MALVERN AVE']"
9,23,357,"(1360537.2499775887, 411005.0004198551)","['PLAINFIELD ST', 'MALVERN AVE']"
10,9,361,"(1360874.4999592602, 411136.5001568347)","['PLAINFIELD ST', 'SQUIRREL HILL AVE']"
10,25,359,"(1360874.4999592602, 411136.5001568347)","['PLAINFIELD ST', 'SQUIRREL HILL AVE']"
10,31,558,"(1360874.4999592602, 411136.5001568347)","['PLAINFIELD ST', 'SQUIRREL HILL AVE']"
10,82,338,"(1360874.4999592602, 411136.5001568347)","['PLAINFIELD ST', 'SQUIRREL HILL AVE']"
11,9,906,"(1360240.6341010332, 411762.5543509275)","['MALVERN AVE', 'BORDER']"
12,4,89,"(1356657.9998620898, 410982.7501362562)","['FREW ST', 'FRANK CURTO DR']"
12,41,937,"(1356657.9998620898, 410982.7501362562)","['FREW ST', 'FRANK CURTO DR']"
